power,frequency,xhop,yhop,amp,BER
1.0,20,3, 0,0.160462318452,0.960670010389
1.0,20,-1, 3,0.0699148962192,0.981732532417
1.0,20,0, -2,0.240154165663,0.918810916607
1.0,20,-2, -3,0.041577602993,0.984619524385
1.0,20,-2, -1,0.304974778526,0.87379559126
1.0,20,1, -3,0.0551165476272,0.983765835488
1.0,20,0, -4,0.022236716494,0.985560328861
1.0,20,1, 3,0.0720449448467,0.982318079479
1.0,20,1, 1,0.92263596709,0.393456223253
1.0,20,-3, -2,0.0802432685318,0.981155219173
1.0,20,4, -2,0.0388429882106,0.984731792344
1.0,20,3, 2,0.0650866040792,0.982358138885
1.0,20,-1, 1,0.915498412972,0.397824956115
1.0,20,2, 3,0.0478060375361,0.984088472735
1.0,20,4, -3,0.0194965921557,0.985604589732
1.0,20,0, 1,1.53990058157,0.133790410716
1.0,20,4, 2,0.0386686776188,0.985056540124
1.0,20,-3, -1,0.129950407884,0.970761424472
1.0,20,-3, 1,0.129915332099,0.970640453921
1.0,20,4, 0,0.0782059646914,0.981355550042
1.0,20,-1, -2,0.1941397657,0.946188937453
1.0,20,-1, -4,0.0216582743522,0.9855620339
1.0,20,3, 3,0.029102344577,0.985379623451
1.0,20,4, -4,0.0120786562044,0.98577777941
1.0,20,2, -2,0.124617222036,0.972786107075
1.0,20,2, 1,0.312798098776,0.868975664122
1.0,20,-2, 0,0.523637063439,0.687264583864
1.0,20,0, 3,0.0813682756598,0.98067611846
1.0,20,2, 2,0.127663933132,0.97248228928
1.0,20,-2, 2,0.126733724231,0.971104890827
1.0,20,-3, 3,0.0427681656509,0.984393789946
1.0,20,0, -1,1.54060223582,0.133162744641
1.0,20,3, -2,0.0624988094523,0.983072446126
1.0,20,-1, 2,0.194096034143,0.946393270248
1.0,20,3, 1,0.129509654567,0.969829634265
1.0,20,0, -3,0.0601209495383,0.982798304418
1.0,20,-1, -1,0.919325476703,0.393954527323
1.0,20,-2, -2,0.128960320028,0.96958790013
1.0,20,1, 2,0.192998644459,0.945406126956
1.0,20,1, -2,0.19118629225,0.948465558811
1.0,20,-3, -3,0.03105923628,0.985218635608
1.0,20,1, -4,0.020124092925,0.985527008393
1.0,20,2, 0,0.527747171389,0.684388112624
1.0,20,-2, -4,0.0193786487954,0.985654106037
1.0,20,-1, 0,2.22488891452,0.0321261371801
1.0,20,3, -4,0.0136271205911,0.985914330304
1.0,20,2, -4,0.0152520166366,0.985986990176
1.0,20,-3, 2,0.0901366329541,0.978842626505
1.0,20,-3, -4,0.0176947143199,0.985722471416
1.0,20,0, 0,6.36539084197,0
1.0,20,4, 1,0.0673596426773,0.982497339604
1.0,20,-3, 0,0.157125909444,0.961280640189
